   step     dens     kT     pres         Lx      Ly      Lz          Px       Py       Pz         px        py        pz
     8200  2.9977  1.0127  22.0225     12.000  12.000  12.000      7.3791   7.3007   7.3428     0.40E-12  0.21E-12  0.56E-12
     8300  2.9977  0.9939  21.9738     12.000  12.000  12.000      7.3287   7.3352   7.3099     0.48E-12  0.30E-12  0.58E-12
     8400  2.9977  0.9883  21.8872     12.000  12.000  12.000      7.3094   7.2620   7.3158     0.40E-12  0.33E-12  0.87E-12
     8500  2.9977  0.9872  21.9648     12.000  12.000  12.000      7.3392   7.3232   7.3024     0.24E-12  0.19E-12  0.68E-12
     8600  2.9977  0.9994  22.0072     12.000  12.000  12.000      7.3043   7.3384   7.3646     0.32E-12  0.44E-12  0.50E-12
     8700  2.9977  0.9972  21.8380     12.000  12.000  12.000      7.2278   7.3042   7.3060     0.29E-12  0.19E-12  0.45E-12
     8800  2.9977  0.9797  21.8595     12.000  12.000  12.000      7.2918   7.2825   7.2851     0.24E-12  0.94E-13  0.34E-12
     8900  2.9977  1.0024  21.9460     12.000  12.000  12.000      7.2641   7.3672   7.3148     0.37E-12  0.49E-13  0.27E-12
     9000  2.9977  0.9925  21.9994     12.000  12.000  12.000      7.3371   7.3554   7.3068     0.32E-12  0.34E-14  0.27E-12
     9100  2.9977  1.0053  21.9665     12.000  12.000  12.000      7.3952   7.2722   7.2990     0.45E-12 -0.86E-13  0.25E-12
     9200  2.9977  1.0242  21.9192     12.000  12.000  12.000      7.3029   7.3032   7.3132     0.46E-12  0.16E-12  0.44E-12
     9300  2.9977  1.0056  21.9544     12.000  12.000  12.000      7.2891   7.3997   7.2656     0.37E-12  0.12E-12  0.38E-12
     9400  2.9977  1.0019  21.8325     12.000  12.000  12.000      7.2744   7.3019   7.2562     0.52E-12  0.17E-12  0.44E-12
     9500  2.9977  1.0047  21.9367     12.000  12.000  12.000      7.3461   7.2711   7.3195     0.48E-12  0.32E-12  0.24E-12
     9600  2.9977  0.9900  21.9852     12.000  12.000  12.000      7.2633   7.3843   7.3376     0.53E-12  0.41E-12  0.31E-12
     9700  2.9977  0.9980  21.9188     12.000  12.000  12.000      7.3363   7.3081   7.2745     0.65E-12  0.18E-12  0.28E-12
     9800  2.9977  1.0102  21.9672     12.000  12.000  12.000      7.2982   7.4131   7.2559     0.69E-12  0.17E-12  0.21E-12
     9900  2.9977  1.0152  22.0475     12.000  12.000  12.000      7.3357   7.3617   7.3501     0.49E-12  0.22E-12  0.11E-12
    10000  2.9977  1.0172  21.9759     12.000  12.000  12.000      7.3180   7.3620   7.2959     0.53E-12  0.12E-12  0.35E-12
    10100  2.9977  1.0156  22.0771     12.000  12.000  12.000      7.4029   7.3606   7.3136    -0.11E-12  0.90E-13 -0.77E-13
    10200  2.9977  0.9789  21.9117     12.000  12.000  12.000      7.3148   7.2596   7.3373    -0.24E-13  0.74E-14 -0.14E-12
    10300  2.9977  1.0042  21.8823     12.000  12.000  12.000      7.3180   7.2892   7.2751    -0.24E-12 -0.30E-12 -0.42E-12
    10400  2.9977  0.9860  21.8687     12.000  12.000  12.000      7.3268   7.2900   7.2520    -0.38E-12  0.35E-13 -0.38E-12
    10500  2.9977  0.9971  21.8841     12.000  12.000  12.000      7.3004   7.2564   7.3273     0.36E-13  0.36E-12 -0.34E-12
    10600  2.9977  1.0088  21.9293     12.000  12.000  12.000      7.2406   7.3533   7.3355     0.92E-13  0.44E-12 -0.54E-12
    10700  2.9977  0.9931  22.0430     12.000  12.000  12.000      7.3567   7.3553   7.3310     0.27E-12 -0.16E-13 -0.17E-12
    10800  2.9977  1.0001  22.0872     12.000  12.000  12.000      7.3420   7.3503   7.3949    -0.43E-13  0.27E-12 -0.13E-12
    10900  2.9977  1.0093  21.9944     12.000  12.000  12.000      7.3634   7.2859   7.3451    -0.25E-12  0.30E-12 -0.31E-12
    11000  2.9977  1.0079  21.8676     12.000  12.000  12.000      7.3092   7.2561   7.3023    -0.41E-12  0.17E-12 -0.86E-13
    11100  2.9977  1.0010  22.0224     12.000  12.000  12.000      7.3423   7.3536   7.3265    -0.33E-12  0.30E-12 -0.40E-12
    11200  2.9977  0.9920  22.0049     12.000  12.000  12.000      7.3064   7.3292   7.3694    -0.17E-12  0.17E-12 -0.43E-12
    11300  2.9977  1.0077  22.0699     12.000  12.000  12.000      7.3254   7.3354   7.4091    -0.21E-12  0.17E-12 -0.56E-12
    11400  2.9977  0.9901  21.9939     12.000  12.000  12.000      7.3534   7.3197   7.3209    -0.29E-12  0.20E-12 -0.71E-12
    11500  2.9977  1.0042  21.9977     12.000  12.000  12.000      7.3834   7.2896   7.3247    -0.45E-12  0.13E-12 -0.35E-12
    11600  2.9977  0.9804  21.8885     12.000  12.000  12.000      7.3342   7.2828   7.2715    -0.79E-13  0.27E-14 -0.42E-12
    11700  2.9977  1.0077  21.9136     12.000  12.000  12.000      7.2691   7.3454   7.2991    -0.29E-12  0.11E-12 -0.26E-12
    11800  2.9977  0.9985  21.9593     12.000  12.000  12.000      7.2843   7.3527   7.3223    -0.30E-12  0.70E-13 -0.20E-12
    11900  2.9977  0.9861  22.0113     12.000  12.000  12.000      7.2790   7.3489   7.3834    -0.42E-12 -0.25E-12 -0.25E-12
    12000  2.9977  1.0057  21.9658     12.000  12.000  12.000      7.3202   7.3491   7.2964    -0.44E-12 -0.22E-12 -0.44E-12
    12100  2.9977  0.9775  21.8720     12.000  12.000  12.000      7.2569   7.3199   7.2952    -0.31E-12 -0.78E-13 -0.34E-12
    12200  2.9977  0.9685  21.8772     12.000  12.000  12.000      7.2718   7.3181   7.2872    -0.37E-12  0.29E-13 -0.54E-12
    12300  2.9977  0.9930  21.9946     12.000  12.000  12.000      7.3552   7.3467   7.2927    -0.33E-12  0.11E-12 -0.36E-12
    12400  2.9977  1.0010  22.0711     12.000  12.000  12.000      7.3700   7.3175   7.3836    -0.36E-12  0.16E-12 -0.13E-12
    12500  2.9977  1.0053  21.9154     12.000  12.000  12.000      7.3089   7.2583   7.3482    -0.41E-12 -0.48E-14 -0.17E-12
    12600  2.9977  0.9996  21.9379     12.000  12.000  12.000      7.3382   7.3123   7.2874    -0.33E-12  0.12E-12 -0.23E-12
    12700  2.9977  0.9965  21.9938     12.000  12.000  12.000      7.2928   7.3257   7.3754    -0.38E-12  0.35E-12 -0.35E-12
    12800  2.9977  1.0080  22.0237     12.000  12.000  12.000      7.3671   7.3062   7.3504    -0.73E-12  0.50E-12 -0.34E-12
    12900  2.9977  1.0100  22.0026     12.000  12.000  12.000      7.3536   7.3340   7.3149    -0.69E-12  0.15E-12 -0.36E-12
    13000  2.9977  1.0031  22.0200     12.000  12.000  12.000      7.3704   7.3430   7.3066    -0.61E-12  0.40E-12 -0.50E-12
    13100  2.9977  1.0014  21.8527     12.000  12.000  12.000      7.2801   7.2992   7.2734    -0.84E-12  0.41E-12 -0.63E-12
    13200  2.9977  1.0037  21.8689     12.000  12.000  12.000      7.3403   7.2946   7.2339    -0.76E-12  0.59E-12 -0.45E-12
    13300  2.9977  0.9962  21.9312     12.000  12.000  12.000      7.3305   7.2538   7.3470    -0.62E-12  0.49E-12 -0.64E-12
    13400  2.9977  1.0050  22.0631     12.000  12.000  12.000      7.3316   7.3525   7.3789    -0.73E-12  0.51E-12 -0.44E-12
    13500  2.9977  0.9968  21.9349     12.000  12.000  12.000      7.3326   7.3343   7.2679    -0.73E-12  0.53E-12 -0.45E-12
    13600  2.9977  0.9859  21.8739     12.000  12.000  12.000      7.3008   7.3009   7.2722    -0.63E-12  0.40E-12 -0.70E-12
    13700  2.9977  1.0090  21.9541     12.000  12.000  12.000      7.2864   7.3997   7.2679    -0.69E-12  0.63E-12 -0.57E-12
    13800  2.9977  0.9939  21.9337     12.000  12.000  12.000      7.2910   7.3066   7.3362    -0.63E-12  0.35E-12 -0.46E-12
    13900  2.9977  1.0096  21.9990     12.000  12.000  12.000      7.3782   7.3254   7.2953    -0.70E-12  0.54E-12 -0.49E-12
    14000  2.9977  0.9967  21.9159     12.000  12.000  12.000      7.2794   7.3057   7.3308    -0.45E-12  0.49E-12 -0.49E-12
    14100  2.9977  1.0090  22.0025     12.000  12.000  12.000      7.3595   7.3271   7.3159    -0.60E-12  0.64E-12 -0.60E-12
    14200  2.9977  0.9922  21.9131     12.000  12.000  12.000      7.3277   7.2732   7.3121    -0.39E-12  0.51E-12 -0.45E-12
    14300  2.9977  1.0012  21.9484     12.000  12.000  12.000      7.3106   7.3176   7.3202    -0.63E-12  0.76E-12 -0.61E-12
    14400  2.9977  1.0152  22.0170     12.000  12.000  12.000      7.3243   7.3516   7.3410    -0.85E-12  0.11E-12 -0.45E-12
    14500  2.9977  1.0114  22.1284     12.000  12.000  12.000      7.3959   7.3405   7.3920    -0.68E-12  0.31E-12 -0.47E-12
    14600  2.9977  1.0052  21.9490     12.000  12.000  12.000      7.2724   7.3169   7.3597    -0.78E-12  0.38E-12 -0.49E-12
    14700  2.9977  0.9862  21.8115     12.000  12.000  12.000      7.2840   7.2803   7.2472    -0.44E-12  0.37E-12 -0.37E-12
    14800  2.9977  1.0186  21.9700     12.000  12.000  12.000      7.3128   7.3396   7.3177    -0.54E-12  0.34E-12 -0.49E-12
    14900  2.9977  1.0062  22.0167     12.000  12.000  12.000      7.3618   7.3254   7.3296    -0.69E-12  0.54E-12 -0.54E-12
    15000  2.9977  1.0068  21.9502     12.000  12.000  12.000      7.3481   7.3116   7.2906    -0.61E-12  0.45E-12 -0.33E-12
    15100  2.9977  0.9971  21.9805     12.000  12.000  12.000      7.3279   7.2750   7.3777     0.84E-13  0.28E-12  0.94E-13
    15200  2.9977  1.0008  21.8505     12.000  12.000  12.000      7.2877   7.3126   7.2502    -0.83E-13  0.51E-13 -0.58E-13
    15300  2.9977  0.9930  21.9310     12.000  12.000  12.000      7.3326   7.3426   7.2558     0.16E-12  0.48E-13 -0.99E-13
    15400  2.9977  0.9930  22.0119     12.000  12.000  12.000      7.3607   7.3171   7.3342    -0.10E-12  0.92E-13  0.71E-13
    15500  2.9977  1.0146  22.0468     12.000  12.000  12.000      7.3168   7.3715   7.3585     0.76E-13  0.16E-12  0.22E-12
    15600  2.9977  1.0035  21.9007     12.000  12.000  12.000      7.2850   7.2990   7.3167     0.38E-13  0.14E-12  0.97E-13
    15700  2.9977  1.0112  22.1001     12.000  12.000  12.000      7.3450   7.3732   7.3818     0.66E-13  0.64E-13  0.18E-12
    15800  2.9977  1.0137  22.1163     12.000  12.000  12.000      7.3555   7.3919   7.3689    -0.63E-13  0.18E-12  0.21E-12
    15900  2.9977  1.0129  22.0136     12.000  12.000  12.000      7.3200   7.3405   7.3531    -0.28E-12  0.37E-13  0.28E-12
    16000  2.9977  1.0042  21.9123     12.000  12.000  12.000      7.3455   7.3248   7.2420    -0.17E-13  0.49E-13  0.42E-12
    16100  2.9977  0.9848  21.9448     12.000  12.000  12.000      7.3027   7.3116   7.3305    -0.91E-13 -0.39E-13  0.45E-12
    16200  2.9977  0.9986  22.0117     12.000  12.000  12.000      7.3651   7.3195   7.3271    -0.22E-12 -0.15E-12  0.26E-12
    16300  2.9977  1.0104  22.0138     12.000  12.000  12.000      7.3249   7.3624   7.3265    -0.15E-12 -0.20E-12  0.42E-12
